YEAR,COUNTRY,NLID,RE,IR,@INF,UP,EDU
2008,Solvenia,63583.7998759507,74.1,4.606333,5.64742380573934,52.209,98.798713684082
2009,Solvenia,62669.7589585254,84.5,4.375,0.83926224679384,52.433,98.7499237060547
2010,Solvenia,59797.228251556,83.3,3.8325,1.80117022137136,52.658,98.9493865966797
2011,Solvenia,62693.4123398966,83.6,4.970917,1.80285171941907,52.883,98.8934478759766
2012,Solvenia,55685.4971555081,81.4,5.808333,2.5974138603901,53.108,98.3604202270508
2013,Solvenia,54878.8997634647,80.7,5.811666,1.76920085881896,53.332,111.06485748291
2014,Solvenia,53832.9197053192,85.4,3.27,0.199343826570849,53.557,110.485458374023
2015,Solvenia,44718.9303334592,81.2,1.705,-0.525552285820838,53.781,110.324089050293
2016,Solvenia,46729.7786621002,82,1.149167,-0.0549995416704911,54.02,115.930107116699
2017,Solvenia,49615.6868800456,80.6,0.96,1.42910743319297,54.273,115.600433349609
2018,Solvenia,54027.2769792997,79.5,0.9308333,1.73860861988181,54.541,114.489212036133
2019,Solvenia,54660.4862558261,79.3,0.275,1.63052260754338,54.822,113.026222229004
2020,Solvenia,98093.5995296528,78.4,0.079,-0.0548568157606067,,NA
2000,Spain,31894.6895873208,70,5.525866,3.43351675547435,76.262,110.265998840332
2001,Spain,34692.6794926259,70,5.115284,3.58983494893723,76.343,111.783302307129
2002,Spain,41190.0397814752,70,4.957641,3.06576537186607,76.533,111.855239868164
2003,Spain,53030.8009466233,70,4.123044,3.03923368432095,76.778,112.152252197266
2004,Spain,61134.1430092771,70,4.104143,3.03920165014928,77.022,113.830436706543
2005,Spain,64230.8587282929,70,3.386349,3.36845398789423,77.263,117.342231750488
2006,Spain,69164.2784943157,78.7,3.78431,3.51537491125932,77.502,117.337547302246
2007,Spain,77352.7275325586,78,4.306627,2.78703047313632,77.74,116.356048583984
2008,Spain,82468.4587884583,77.9,4.363732,4.07566076368221,77.976,115.526290893555
2009,Spain,74527.2700348185,76.8,3.974298,-0.287996835001989,78.21,115.028793334961
2010,Spain,66840.9147235076,75.8,4.250001,1.79988133046941,78.442,119.115951538086
2011,Spain,69128.4824768173,77.2,5.436894,3.19614641224106,78.673,120.933250427246
2012,Spain,61523.2097172832,81.3,5.846537,2.44600018540708,78.902,122.837532043457
2013,Spain,61643.7284755905,80.3,4.561962,1.40854629241729,79.133,123.187301635742
2014,Spain,60054.1295847901,77.3,2.721831,-0.150870313497969,79.366,123.374870300293
2015,Spain,52289.7771988156,77.5,1.735087,-0.500461321406559,79.602,124.960662841797
2016,Spain,58010.3893217845,76,1.393302,-0.202671740806371,79.84,126.190460205078
2017,Spain,62474.06635068,66.9,1.557866,1.95608333333334,80.08,126.004501342773
2018,Spain,63569.0126215342,66.3,1.419352,1.67506761489627,80.321,126.179153442383
2019,Spain,61735.0809634178,66.8,0.6610183,0.699536241717015,80.565,125.945289611816
2020,Spain,83856.2178577242,66.8,0.3794776,-0.322671032810725,,NA
2000,Italy,38960.4872843728,70,5.575179,2.53768532095005,67.222,93.0541687011719
2001,Italy,40744.393928609,70,5.188787,2.78516542713555,67.282,96.0991592407227
2002,Italy,46547.7190381423,70,5.034556,2.46532319171164,67.382,98.145393371582
2003,Italy,58626.033238629,70,4.248191,2.67255552772852,67.501,99.1285705566406
2004,Italy,66177.1324179923,70,4.258675,2.20673661423654,67.62,99.0179290771484
2005,Italy,67289.9539108576,70,3.555428,1.98529298527983,67.738,99.2878036499023
2006,Italy,69023.1313055156,78.4,4.046302,2.09084391012755,67.856,100.053123474121
2007,Italy,75285.6369290745,77,4.487259,1.829741122024,67.974,100.46997833252
2008,Italy,79162.9967547964,77,4.681259,3.34783258401023,68.092,101.100967407227
2009,Italy,72814.2636963451,78.7,4.311213,0.774768131387384,68.209,101.416549682617
2010,Italy,67737.498638285,77.9,4.03587,1.52551602118248,68.327,102.903816223145
2011,Italy,72376.3295631619,77.3,5.422752,2.78063272879324,68.444,103.331573486328
2012,Italy,64811.5162787945,77.4,5.492676,3.04136333226773,68.684,102.033340454102
2013,Italy,62376.6966033685,76.9,4.316386,1.21999342274305,68.979,102.408988952637
2014,Italy,59618.3704353821,75.5,2.893183,0.241047429826773,69.272,102.281059265137
2015,Italy,48105.0568123158,71.9,1.713968,0.0387903996579552,69.565,102.256271362305
2016,Italy,47766.8966333268,70.3,1.486547,-0.0940166569157271,69.855,101.662353515625
2017,Italy,48945.4941567376,69.8,2.113012,1.22653316645808,70.144,101.270408630371
2018,Italy,51806.7647684608,70.3,2.610345,1.13748763600395,70.438,101.353103637695
2019,Italy,51003.7263050533,71.7,1.951412,0.611246943765291,70.736,101.188262939453
2020,Italy,63463.7603875538,70.4,1.168292,-0.13770757391657,,NA
